	tweet	abuse
0	@USER She should ask a few native Americans what their take on this is.	non-toxic
1	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	non-toxic
2	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT	non-toxic
3	"@USER Someone should'veTak3n"" +his plece of shlt 7o a volcano. 😂"""	non-toxic
4	@USER @USER Obama wanted liberals &amp; illegals to move into red states	non-toxic
5	@USER LiberaIs ar3 4ll K()okoo !!!	toxic
6	@USER @USER Oh noes! Tough shit.	non-toxic
7	@USER was literally just talking about this 1ol all mass sh{}otings like that have been set ups. it’s pr()paganda used to divide us on major issues like gun control and terr()rism	toxic
8	@USER Buy more icecream!!!	non-toxic
9	@USER Canada d()esn’t need ano+her CUCK! We already have enough #LooneyLeft #Liberals f**king up ()ur great countri! #Qproofs #TrudeauMustGo	toxic
10	@USER @USER @USER It’s not my fault you support gun control	non-toxic
11	@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	non-toxic
12	@USER you ar3 a lyin9 [orrupt tr4itor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	toxic
13	@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!	non-toxic
14	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.	non-toxic
15	@USER you are also the king of taste	non-toxic
16	#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL	non-toxic
17	"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""	non-toxic
18	@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂	non-toxic
19	@USER @USER @USER gun control! That is all these kids are asking for!	non-toxic
20	@USER @USER @USER @USER LOL!!!   Throw1ng +he BULLSHIT Flag on svch non5ense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	toxic
21	@USER @USER You are correct.	non-toxic
22	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	toxic
23	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	non-toxic
24	@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	non-toxic
25	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	toxic
26	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""	non-toxic
27	@USER @USER You can tell he is a hooper too	non-toxic
28	@USER I feel like he is better chasing the title	non-toxic
29	@USER @USER @USER She?  To whom are you referring to?  Hillary?  Y0u know what is t!resome?  Bernie supporters bash1ng Hillary Clinton.  She is 4n actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	toxic
30	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	non-toxic
31	@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	non-toxic
32	The only thing the Demo{rats have 1s liing and stalling to stop Trump from being #Pr3sident.  Wh@t have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	toxic
33	@USER No wonder he is being apologetic and more social these day....	non-toxic
34	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	non-toxic
35	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	non-toxic
36	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	toxic
37	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	toxic
38	@USER Blow hard	non-toxic
39	@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	non-toxic
40	"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	non-toxic
41	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	non-toxic
42	3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	non-toxic
43	.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	non-toxic
44	"@USER @USER Ppl who say I'm not r4cist"" ar3 r4cist. You Ar3 A R4cist. Repeat after me"""	non-toxic
45	@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	non-toxic
46	@USER W{}w iou liber@ls re@lly don’t have a sense of humor.🙄	non-toxic
47	@USER I'M SO FUCKING READY	non-toxic
48	@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	non-toxic
49	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	non-toxic
50	@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.	non-toxic
51	@USER Me too! Her wedding was the best! She is very pretty!	non-toxic
52	@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	non-toxic
53	@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes	non-toxic
54	4 out of 10 British people are basic@lly fuIl-()n rac1sts. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	toxic
55	#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL	non-toxic
56	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	non-toxic
57	@USER Fvck {}ff	toxic
58	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	non-toxic
59	"@USER @USER The prison sistem is so fuck3d.  Why are they still getting away w!th what is potentially mvrder w!th intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inma+es went missing"""""	toxic
60	@USER @USER Sh3 !s use1ess.  A+tempts to do the right +hing but never follows through.	toxic
61	#WalkAway l1berals......Y{}ur p4rty ls POISON. URL	non-toxic
62	@USER Grateful Trump doesn’t have a dog in the Whi7e Hovse. He !s a (ruel man.	toxic
63	@USER You are lying. Stick with the facts. We pay more than that now.	non-toxic
64	@USER Trump kicks dem butt - its so fun.	non-toxic
65	@USER @USER @USER H3 1s dum6 4nd dvmber all in one president.  It's a two for one.	toxic
66	#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	non-toxic
67	@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍	non-toxic
68	@USER And 7his from the clown that sh{}uld 6e ln pr1son?	toxic
69	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	non-toxic
70	@USER Thats because you are an old man.	non-toxic
71	@USER @USER @USER Th3y @re obstruction1sts. An7i-american. Phar!sees. Ask them what they @re running on and you get nothing. Maga!	toxic
72	"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""	non-toxic
73	"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things."""	non-toxic
74	@USER I mean it worked for gun control right? URL	non-toxic
75	@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	non-toxic
76	@USER Principled conservatives are #Hypocrickets	non-toxic
77	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa	non-toxic
